"Unique ID";"Name";"Nation";"Division";"Rep";"Av Age";"Balance";"Trn Budget S";"Trn Budget R";"Wage Budget";"Status";"TF";"YF";"JC";"Stad Cap";"Av Att";"Rating";"Pot Rating"
"19.253.694";"Afogados";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"1.750";"27,3";"10";"0";"0";"0";"Professional";"5";"5";"6";"2.000";"1.000";"62,7%";"67,3%"
"309.616";"AGA";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Professional";"5";"3";"3";"6.356";"2.000";"0,0%";"0,0%"
"19.334.270";"Agrimaq";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"350";"0,0";"0";"0";"0";"0";"Professional";"5";"5";"6";"4.000";"250";"0,0%";"0,0%"
"19.200.887";"Água Santa";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"3.300";"28,7";"0";"0";"0";"0";"Professional";"7";"7";"9";"10.000";"4.000";"70,1%";"72,6%"
"309.778";"Água Verde";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"2";"1";"1";"0";"250";"0,0%";"0,0%"
"2.000.320.598";"Águia de Cumaru";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"550";"0,0";"0";"0";"0";"0";"Professional";"2";"2";"8";"5.000";"40";"0,0%";"0,0%"
"308.939";"Águia de Marabá";"Brazil";"Brasileirão Série D";"2.300";"28,8";"0";"0";"0";"0";"Professional";"6";"6";"3";"4.000";"1.700";"62,3%";"65,1%"
"314.963";"Águia Negra";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"1.000";"0,0";"0";"0";"0";"0";"Professional";"8";"6";"5";"8.000";"1.500";"0,0%";"0,0%"
"19.009.976";"Aimoré";"Brazil";"Brasileirão Série D";"2.400";"0,0";"0";"0";"0";"0";"Professional";"4";"4";"5";"12.000";"695";"0,0%";"0,0%"
"2.000.135.794";"Albion (SP)";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"1";"1";"1";"0";"250";"0,0%";"0,0%"
"301.257";"Alecrim";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"1.000";"0,0";"0";"0";"0";"0";"Professional";"6";"7";"4";"4.500";"3.100";"0,0%";"0,0%"
"310.389";"Alegrense";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Professional";"8";"5";"3";"5.000";"1.800";"0,0%";"0,0%"
"313.440";"Alexandria (AL)";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"3";"2";"1";"0";"250";"0,0%";"0,0%"
"301.105";"Aliança (AP)";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Professional";"4";"4";"4";"3.000";"600";"0,0%";"0,0%"
"19.165.042";"Aliança Atlética";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"450";"0,0";"0";"0";"0";"0";"Professional";"4";"4";"5";"22.000";"200";"0,0%";"0,0%"
"312.328";"Almirante Barroso [EXT]";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"1";"1";"1";"0";"250";"0,0%";"0,0%"
"2.000.152.147";"Altamira (PA)";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"450";"0,0";"0";"0";"0";"0";"Professional";"2";"2";"3";"2.000";"100";"0,0%";"0,0%"
"19.273.578";"Altos (PI)";"Brazil";"Brasileirão Série C";"3.750";"25,2";"159.900";"0";"0";"3.070";"Professional";"7";"8";"7";"5.000";"650";"59,1%";"63,6%"
"19.339.649";"Alves Nogueira";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"1";"1";"1";"0";"250";"0,0%";"0,0%"
"19.005.327";"Alves Nogueira (MG)";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"2";"1";"1";"0";"250";"0,0%";"0,0%"
"313.333";"Alvorada (TO)";"Brazil";"Eerste klasse A";"350";"0,0";"0";"0";"0";"0";"Professional";"2";"2";"2";"2.500";"900";"0,0%";"0,0%"
"313.315";"Amadense";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"850";"0,0";"0";"0";"0";"0";"Professional";"2";"3";"3";"7.000";"600";"0,0%";"0,0%"
"313.253";"Amapá";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Professional";"8";"3";"6";"13.680";"600";"0,0%";"0,0%"
"19.398.655";"Amazonas";"Brazil";"Brasileirão Série C";"4.400";"29,5";"611.800";"40.220";"40.220";"27.280";"Professional";"4";"4";"5";"11.000";"200";"68,7%";"71,7%"
"2.000.122.197";"Amazônia IFC";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"900";"0,0";"0";"0";"0";"0";"Professional";"4";"4";"3";"500";"200";"0,0%";"0,0%"
"313.380";"América (AC)";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Professional";"1";"1";"1";"5.000";"320";"0,0%";"0,0%"
"308.384";"América (AM)";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Professional";"3";"4";"3";"11.000";"1.000";"0,0%";"0,0%"
"313.263";"América (CE)";"Brazil";"Eerste klasse A";"400";"0,0";"0";"0";"0";"0";"Professional";"6";"2";"3";"22.000";"750";"0,0%";"0,0%"
"314.317";"América (ES)";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"3";"2";"1";"0";"250";"0,0%";"0,0%"
"314.942";"América (GO)";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"550";"0,0";"0";"0";"0";"0";"Professional";"3";"2";"4";"5.040";"600";"0,0%";"0,0%"
"107.201";"América (MG)";"Brazil";"Brasileirão Assaí";"6.100";"26,6";"2.869.540";"1.286.980";"1.286.980";"93.230";"Professional";"13";"11";"13";"23.018";"4.910";"73,0%";"75,0%"
"314.312";"América (PB)";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"1";"1";"1";"2.000";"250";"0,0%";"0,0%"
"303.013";"América (PE)";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"850";"0,0";"0";"0";"0";"0";"Professional";"3";"2";"2";"12.000";"710";"0,0%";"0,0%"
"900.996";"America (RJ)";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"2.150";"0,0";"0";"0";"0";"0";"Professional";"8";"8";"6";"13.544";"1.100";"0,0%";"0,0%"
"107.203";"América (RN)";"Brazil";"Brasileirão Série C";"4.250";"28,6";"130.580";"0";"0";"23.990";"Professional";"10";"7";"7";"32.000";"1.584";"67,3%";"70,1%"
"309.757";"América (SC)";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"3";"2";"1";"0";"250";"0,0%";"0,0%"
"301.333";"América (SP)";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"950";"30,0";"0";"0";"0";"0";"Professional";"4";"7";"7";"32.168";"3.000";"5,5%";"6,0%"
"314.971";"América de Caaporã";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Amateur";"1";"3";"1";"3.500";"800";"0,0%";"0,0%"
"19.367.841";"América de Pedrinhas";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"850";"0,0";"0";"0";"0";"0";"Professional";"5";"4";"4";"600";"200";"0,0%";"0,0%"
"314.297";"América de Propriá";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"1.150";"0,0";"0";"0";"0";"0";"Professional";"7";"3";"6";"2.000";"600";"0,0%";"0,0%"
"309.782";"América Paranaense";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"3";"2";"1";"0";"250";"0,0%";"0,0%"
"19.113.685";"América TO (MG)";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"1.000";"0,0";"0";"0";"0";"0";"Professional";"4";"4";"4";"5.000";"300";"0,0%";"0,0%"
"311.108";"América TR (RJ)";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Professional";"3";"3";"3";"5.000";"500";"0,0%";"0,0%"
"104.887";"Americano";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"2.100";"0,0";"0";"0";"0";"0";"Professional";"9";"9";"5";"3.000";"875";"0,0%";"0,0%"
"314.319";"Americano (ES)";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"3";"2";"1";"0";"250";"0,0%";"0,0%"
"309.656";"Americano (MA)";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"450";"0,0";"0";"0";"0";"0";"Professional";"4";"5";"5";"7.856";"632";"0,0%";"0,0%"
"313.904";"Americano (MT)";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"1";"1";"1";"0";"250";"0,0%";"0,0%"
"309.737";"Americano (RS)";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"3";"2";"1";"3.000";"250";"0,0%";"0,0%"
"302.146";"Americano (SP)";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"3";"2";"1";"0";"250";"0,0%";"0,0%"
"19.027.339";"Amparo";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"700";"0,0";"0";"0";"0";"0";"Professional";"3";"3";"4";"5.000";"250";"0,0%";"0,0%"
"314.744";"Ananindeua";"Brazil";"Eerste klasse A";"400";"0,0";"0";"0";"0";"0";"Professional";"7";"4";"5";"5.000";"600";"0,0%";"0,0%"
"301.146";"Anapolina";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"1.350";"0,0";"0";"0";"0";"0";"Professional";"9";"8";"6";"14.400";"3.255";"0,0%";"0,0%"
"301.148";"Anápolis";"Brazil";"Brasileirão Série D";"2.400";"28,2";"0";"0";"0";"0";"Professional";"6";"6";"6";"14.400";"3.319";"52,4%";"55,4%"
"2.000.004.148";"Anchieta (RJ)";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"3";"2";"1";"0";"250";"0,0%";"0,0%"
"314.783";"Andarahy";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"1";"1";"1";"0";"250";"0,0%";"0,0%"
"309.637";"Andirá";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"700";"31,0";"0";"0";"0";"0";"Professional";"4";"2";"2";"10.000";"1.600";"5,3%";"5,5%"
"19.354.609";"Andradina";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"450";"0,0";"0";"0";"0";"0";"Professional";"4";"4";"5";"8.390";"100";"0,0%";"0,0%"
"19.069.555";"Andraus";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"2.000";"26,6";"-3.150";"0";"0";"0";"Professional";"3";"3";"5";"1.200";"500";"44,3%";"47,6%"
"319.620";"Angra dos Reis";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"700";"0,0";"0";"0";"0";"0";"Professional";"3";"3";"3";"5.000";"600";"0,0%";"0,0%"
"2.000.210.044";"Anjos do Céu";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"350";"0,0";"0";"0";"0";"0";"Semi-Professional";"2";"3";"4";"8.000";"250";"0,0%";"0,0%"
"301.149";"Aparecida (GO)";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"800";"25,0";"0";"0";"0";"0";"Professional";"2";"2";"2";"8.000";"600";"5,8%";"6,4%"
"319.141";"Aparecidense";"Brazil";"Brasileirão Série C";"4.350";"26,1";"128.660";"0";"0";"8.560";"Professional";"3";"2";"4";"8.000";"1.500";"63,9%";"67,8%"
"19.053.110";"Aperibeense";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Professional";"3";"3";"3";"3.000";"250";"0,0%";"0,0%"
"19.253.215";"Apucarana Sports";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"1.300";"0,0";"0";"0";"0";"0";"Professional";"7";"7";"6";"4.500";"200";"0,0%";"0,0%"
"19.139.649";"Aquidauanense";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"1.250";"28,3";"0";"0";"0";"0";"Professional";"4";"6";"6";"4.000";"300";"17,3%";"18,3%"
"19.342.407";"Aracaju";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"500";"0,0";"0";"0";"0";"0";"Professional";"6";"6";"6";"15.575";"300";"0,0%";"0,0%"
"308.938";"Araçatuba";"Brazil";"Eerste klasse A";"350";"0,0";"0";"0";"0";"0";"Professional";"5";"3";"3";"11.284";"2.000";"0,0%";"0,0%"
"313.275";"Aracruz";"Brazil";"Eerste klasse A";"600";"0,0";"0";"0";"0";"0";"Professional";"3";"2";"5";"5.058";"300";"0,0%";"0,0%"
"19.401.165";"Araguacema";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"700";"0,0";"0";"0";"0";"0";"Professional";"3";"3";"4";"1.500";"100";"0,0%";"0,0%"
"19.289.425";"Araguaia";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"1.100";"28,0";"0";"0";"0";"0";"Professional";"5";"6";"6";"5.000";"200";"11,6%";"12,1%"
"19.056.642";"Araguaia AC";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Professional";"5";"3";"4";"3.000";"900";"0,0%";"0,0%"
"313.341";"Araguaína";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"1.000";"32,0";"0";"0";"0";"0";"Professional";"7";"5";"7";"6.000";"1.900";"17,5%";"18,0%"
"19.170.070";"Araguari";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"400";"0,0";"0";"0";"0";"0";"Professional";"4";"3";"3";"6.000";"200";"0,0%";"0,0%"
"19.218.393";"Araioses";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"400";"0,0";"0";"0";"0";"0";"Professional";"5";"5";"5";"4.000";"138";"0,0%";"0,0%"
"314.944";"Arapongas";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"850";"0,0";"0";"0";"0";"0";"Professional";"3";"2";"5";"6.240";"900";"0,0%";"0,0%"
"19.157.320";"Araranguá";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"1";"1";"1";"0";"250";"0,0%";"0,0%"
"19.107.499";"Araripina";"Brazil";"Eerste klasse A";"500";"0,0";"0";"0";"0";"0";"Professional";"2";"3";"3";"5.341";"750";"0,0%";"0,0%"
"19.344.102";"Araruama";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"1.450";"0,0";"0";"0";"0";"0";"Professional";"5";"6";"5";"3.000";"100";"0,0%";"0,0%"
"19.392.506";"Araucária";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"900";"0,0";"0";"0";"0";"0";"Professional";"4";"5";"5";"4.043";"250";"0,0%";"0,0%"
"19.005.168";"Araxá";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"950";"0,0";"0";"0";"0";"0";"Professional";"5";"5";"6";"10.000";"893";"0,0%";"0,0%"
"313.310";"Ariquemes";"Brazil";"Eerste klasse A";"500";"0,0";"0";"0";"0";"0";"Professional";"3";"3";"3";"5.000";"2.000";"0,0%";"0,0%"
"19.295.792";"Arsenal (PB)";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"3";"2";"1";"0";"250";"0,0%";"0,0%"
"19.373.866";"Arsenal (TO)";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"550";"0,0";"0";"0";"0";"0";"Professional";"4";"4";"5";"6.000";"100";"0,0%";"0,0%"
"19.108.524";"Arsenal de Caridade";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"450";"0,0";"0";"0";"0";"0";"Professional";"2";"2";"3";"1.000";"300";"0,0%";"0,0%"
"314.097";"Artístico FC (PI)";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"3";"2";"1";"0";"250";"0,0%";"0,0%"
"2.100.850";"Artsul";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"1.650";"0,0";"0";"0";"0";"0";"Professional";"8";"5";"5";"1.000";"600";"0,0%";"0,0%"
"313.264";"ARUC";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"650";"0,0";"0";"0";"0";"0";"Professional";"6";"5";"5";"2.000";"1.000";"0,0%";"0,0%"
"301.100";"ASA";"Brazil";"Brasileirão Série D";"2.900";"28,5";"0";"0";"0";"0";"Professional";"8";"7";"7";"12.500";"1.624";"62,0%";"64,8%"
"19.071.614";"ASEEV";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"1.050";"0,0";"0";"0";"0";"0";"Professional";"5";"6";"6";"2.000";"200";"0,0%";"0,0%"
"19.009.824";"Assisense";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"550";"0,0";"0";"0";"0";"0";"Professional";"2";"2";"3";"8.525";"104";"0,0%";"0,0%"
"309.633";"ASSU";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"900";"0,0";"0";"0";"0";"0";"Professional";"6";"4";"3";"12.000";"1.200";"0,0%";"0,0%"
"2.000.085.733";"Aster Brasil";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"800";"0,0";"0";"0";"0";"0";"Professional";"10";"7";"8";"21.000";"100";"0,0%";"0,0%"
"2.000.310.120";"Aster Itaquá";"Brazil";"Eerste klasse A";"250";"0,0";"0";"0";"0";"0";"Amateur";"5";"6";"5";"3.800";"50";"0,0%";"0,0%"
"19.342.677";"Athletic Club (MG)";"Brazil";"Brasileirão Série D";"3.750";"25,9";"0";"0";"0";"0";"Professional";"5";"5";"5";"6.000";"150";"65,5%";"70,0%"
"107.206";"Athletico Paranaense";"Brazil";"Brasileirão Assaí";"7.000";"25,4";"6.679.020";"6.434.880";"6.434.880";"204.530";"Professional";"18";"13";"13";"42.370";"22.283";"75,9%";"78,5%"
"309.766";"Atl. Catarinense FLN";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"2";"1";"1";"0";"250";"0,0%";"0,0%"
"319.117";"Atlântico";"Brazil";"Eerste klasse A";"500";"0,0";"0";"0";"0";"0";"Professional";"3";"3";"3";"1.000";"750";"0,0%";"0,0%"
"19.156.147";"Atlético (ES)";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"1.000";"0,0";"0";"0";"0";"0";"Professional";"3";"3";"4";"3.000";"100";"0,0%";"0,0%"
"309.638";"Atlético Acreano";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"2.000";"0,0";"0";"0";"0";"0";"Professional";"6";"4";"4";"13.700";"1.600";"0,0%";"0,0%"
"2.000.049.649";"Atlético Amazonense";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"550";"0,0";"0";"0";"0";"0";"Professional";"4";"4";"4";"11.000";"200";"0,0%";"0,0%"
"2.000.067.549";"Atlético Batistense";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"450";"0,0";"0";"0";"0";"0";"Professional";"3";"3";"2";"2.500";"200";"0,0%";"0,0%"
"19.354.605";"Atlético Carioca";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"550";"0,0";"0";"0";"0";"0";"Professional";"5";"5";"4";"4.000";"200";"0,0%";"0,0%"
"19.214.762";"Atlético Catarinense";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"1.250";"0,0";"0";"0";"0";"0";"Professional";"5";"5";"6";"3.000";"200";"0,0%";"0,0%"
"310.392";"Atlético Cearense";"Brazil";"Brasileirão Série D";"2.800";"27,5";"0";"0";"0";"0";"Professional";"8";"7";"5";"22.000";"2.500";"24,7%";"26,2%"
"19.140.897";"Atlético Cerrado";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"550";"0,0";"0";"0";"0";"0";"Professional";"2";"3";"3";"4.000";"300";"0,0%";"0,0%"
"301.113";"Atlético de Alagoinhas";"Brazil";"Brasileirão Série D";"3.100";"29,1";"0";"0";"0";"0";"Professional";"8";"6";"6";"16.000";"3.500";"63,5%";"66,1%"
"311.951";"Atlético de Cajazeiras";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"1.200";"30,6";"0";"0";"0";"0";"Professional";"8";"6";"6";"12.000";"2.100";"28,7%";"29,1%"
"2.000.024.120";"Atlético de Salvador";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"1";"1";"1";"0";"250";"0,0%";"0,0%"
"19.081.219";"Atlético Gloriense";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"1.200";"36,0";"0";"0";"0";"0";"Professional";"3";"4";"4";"3.000";"200";"5,8%";"5,8%"
"301.151";"Atlético Goianiense";"Brazil";"Brasileirão Série B Betano";"6.050";"25,7";"1.566.110";"804.360";"804.360";"83.780";"Professional";"11";"8";"7";"12.500";"6.995";"72,4%";"75,6%"
"313.903";"Atlético Matogrossense";"Brazil";"Eerste klasse A";"500";"0,0";"0";"0";"0";"0";"Professional";"4";"4";"3";"44.000";"250";"0,0%";"0,0%"
"314";"Atlético Mineiro";"Brazil";"Brasileirão Assaí";"7.500";"28,2";"6.780.510";"8.043.600";"8.043.600";"471.690";"Professional";"17";"17";"12";"44.892";"34.000";"77,6%";"79,3%"
"19.340.916";"Atlético Mineiro B";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Professional";"12";"12";"12";"2.000";"1.000";"0,0%";"0,0%"
"19.042.951";"Atlético Mogi";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"550";"0,0";"0";"0";"0";"0";"Professional";"3";"4";"4";"14.384";"240";"0,0%";"0,0%"
"19.372.315";"Atlético Paraense";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"700";"0,0";"0";"0";"0";"0";"Professional";"5";"5";"4";"10.000";"200";"0,0%";"0,0%"
"19.295.781";"Atlético Parahybano";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"1";"1";"1";"0";"250";"0,0%";"0,0%"
"19.295.431";"Atlético Patrocinense";"Brazil";"Brasileirão Série D";"2.250";"26,1";"0";"0";"0";"0";"Professional";"2";"2";"3";"8.633";"1.375";"63,9%";"67,6%"
"19.023.857";"Atlético Pernambucano";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"800";"0,0";"0";"0";"0";"0";"Professional";"5";"4";"4";"3.500";"214";"0,0%";"0,0%"
"318.920";"Atlético Potengi";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"550";"0,0";"0";"0";"0";"0";"Professional";"5";"2";"2";"4.500";"1.200";"0,0%";"0,0%"
"309.145";"Atlético Roraima";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"950";"0,0";"0";"0";"0";"0";"Professional";"7";"6";"6";"5.000";"2.500";"0,0%";"0,0%"
"311.030";"Atlético Sorocaba";"Brazil";"Eerste klasse A";"750";"0,0";"0";"0";"0";"0";"Professional";"10";"5";"5";"13.772";"3.000";"0,0%";"0,0%"
"303.861";"Atlético Taguatinga";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Professional";"5";"7";"5";"3.000";"1.500";"0,0%";"0,0%"
"310.902";"Atlético TC";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"750";"0,0";"0";"0";"0";"0";"Professional";"3";"3";"3";"5.000";"820";"0,0%";"0,0%"
"2.000.209.180";"Atlético Torres";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"750";"0,0";"0";"0";"0";"0";"Professional";"6";"7";"10";"46.154";"150";"0,0%";"0,0%"
