1989;;;Colocações finais;;1990;;;;;1991;;;;;1992;;;;;1993;;;;;1994;;;;;;;;;
Estado;Equipe;Como se Classificou;Colocações finais;;Acre (AC);;Colocações finais;;Região Sudeste;;;;;;Colocações finais;;Acre (AC);;Colocações finais;;Região Sudeste;;;Colocações finais;;Acre (AC);Colocações finais;;;;;;;
 Acre;Rio Branco;Campeão do Estadual 1994;Campeão;Corinthians (1º título);Juventus-AC [];;Campeão;Cruzeiro (2º título);São Paulo: Corinthians, Palmeiras, Portuguesa e Santos.;;;;;;Campeão;Grêmio (3º título);Rio Branco-AC [1];;Campeão;Palmeiras (1º título);São Paulo (7): Corinthians, Guarani, Palmeiras, Ponte Preta, Portuguesa, Santos e São Paulo.;;;Campeão;Juventude (1º título);Independência;Campeão;Cruzeiro (3.º título);;;;;;
 Alagoas;CSA;Campeão do Estadual 1994;Vice-campeão;Grêmio;Alagoas (AL);;Vice-campeão;Palmeiras;Rio de Janeiro: Botafogo, Flamengo, Fluminense e Vasco da Gama.;;;;;;Vice-campeão;Flamengo;Alagoas (AL);;Vice-campeão;Cruzeiro;Rio de Janeiro (5): Botafogo, Flamengo, Fluminense, Vasco da Gama e Volta Redonda.;;;Vice-campeão;Botafogo;Vasco-AC [1];Vice-campeão;São Paulo;;;;;;
 Amapá;Cristal;Campeão do Estadual 1994;Estatísticas;;CRB [1];;Estatísticas;;Minas Gerais: América-MG, Atlético-MG e Cruzeiro.;;;;;;Estatísticas;;CSA [, 2];;Estatísticas;;Minas Gerais (4): América Mineiro, Atlético Mineiro, Cruzeiro e Villa Nova.;;;Estatísticas;;Alagoas (AL);Estatísticas;;;;;;;
 Amazonas;Nacional-AM;Campeão do Estadual 1994;Melhor marcador;Sávio (Flamengo) – 7 gols;Amapá (AP);;Melhor marcador;Luizão (Palmeiras) – 8 gols;Espírito Santo: Desportiva Ferroviária. [1, 2, 3, 5];;;;;;Melhor marcador;Paulo Nunes (Grêmio) – 9 gols;Amapá (AP);;Melhor marcador;Romário (Flamengo) – 7 gols;Espírito Santo (1): Linhares. [1, 2, 3, 4, 5];;;Melhor marcador;7 gols:;CRB;Melhor marcador;Oséas (Cruzeiro) – 10 gols;;;;;;
 Bahia;Bahia;Campeão do Estadual 1994;Maior goleada;Flamengo 8–0 Kaburé;Cristal [1];;Maior goleada;Sergipe 0–8 Palmeiras;Região Sul;;;;;;Maior goleada;Portuguesa 8–0 Kaburé;Amapá [, 2];;Maior goleada;Vasco da Gama 8 – 0 Picos;Região Sul;;;;Romário (Flamengo);CSA [1, 2];Maior goleada;Interporto 0 – 8 Bahia;;;;;;
;Vitória;Vice-campeão do Estadual 1994;(diferença);;Amazonas (AM);;(diferença);;Rio Grande do Sul: Grêmio, Internacional e Juventude.;;;;;;(diferença);;Amazonas (AM);;(diferença);;Rio Grande do Sul (4): Caxias, Grêmio, Internacional e Juventude.;;;;Dejan Petkovi? (Vitória);Amapá (AP);(diferença);;;;;;;
 Ceará;Ferroviário;Campeão do Estadual 1994;;;Nacional-AM;;;;Paraná: Atlético-PR (Athletico) e Paraná Clube.;;;;;;;;São Raimundo-AM [1];;;;Paraná (4): Athletico Paranaense, Coritiba, Paraná Clube e Rio Branco.;;;Maiores goleadas;Santos 6 – 0 Sinop;Santos-AP [1];;;;;;;;
 Distrito Federal;Gama;Campeão do Metropolitano 1994;;;Bahia (BA);;;;Santa Catarina: Figueirense. [, 2, 4, 5];;;;;;;;Bahia (BA);;;;Santa Catarina (3): Avaí, Criciúma e Figueirense. [1, 2, 3, 4, 5];;;(diferença);;Amazonas (AM);;;;;;;;
 Espírito Santo;Desportiva Ferroviária;Campeão do Estadual 1994;;;Bahia;;;;Região Nordeste;;;;;;;;Bahia;;;;Região Nordeste;;;;Juventude 6 – 0 Fluminense;Nacional-AM [1];;;;;;;;
 Goiás;Goiás;Campeão do Estadual 1994;;;Vitória [1];;;;Bahia: Bahia e Vitória.;;;;;;;;Vitória [1, 2];;;;Bahia (2): Bahia e Vitória.;;;;;Bahia (BA);;;;;;;;
 Maranhão;Maranhão;Campeão do Estadual 1994;;;Ceará (CE);;;;Pernambuco: Santa Cruz.;;;;;;;;Ceará (CE);;;;Pernambuco (4): Porto, Santa Cruz, Sport Recife e Treze (nota: o Treze é da Paraíba, veja abaixo).;;;;;Bahia;;;;;;;;
 Mato Grosso;Operário VG;Campeão do Estadual 1994;;;Ferroviário [1];;;;Ceará: Fortaleza.;;;;;;;;Ceará;;;;Ceará (2): Ceará e Ferroviário.;;;;;Poções;;;;;;;;
 Mato Grosso do Sul;Pontaporanense;Vice-campeão do Estadual 1994;;;Distrito Federal (DF);;;;Alagoas: CSA.;;;;;;;;Distrito Federal (DF);;;;Rio Grande do Norte (2): ABC e América de Natal.;;;;;Vitória [1, 2];;;;;;;;
 Minas Gerais;Cruzeiro;Campeão do Estadual 1994;;;Gama [1];;;;Sergipe: Sergipe.;;;;;;;;Gama [1];;;;Alagoas (2): CSA e CRB.;;;;;Ceará (CE);;;;;;;;
;Atlético Mineiro;Vice-campeão do Estadual 1994;;;Espírito Santo (ES);;;;Paraíba: Santa Cruz-PB.;;;;;;;;Espírito Santo (ES);;;;Maranhão (2): Moto Club e Sampaio Corrêa.;;;;;Ceará;;;;;;;;
;Democrata GV;Convidado pela CBF;;;Linhares EC;;;;Rio Grande do Norte: América-RN.;;;;;;;;Linhares EC [];;;;Paraíba (2): Botafogo-PB e Treze.;;;;;Fortaleza [1, 2];;;;;;;;
 Pará;Remo;Campeão do Estadual 1994;;;Goiás (GO);;;;Piauí: Cori-Sabbá;;;;;;;;Goiás (GO);;;;Piauí (2): Flamengo-PI e Picos.;;;;;Distrito Federal (DF);;;;;;;;
 Paraíba;Sousa;Campeão do Estadual 1994;;;Goiás;;;;Maranhão: Bacabal. [, 2, 3, 4, 5, 6];;;;;;;;Goiás;;;;Sergipe (2): Lagartense e Sergipe. [1, 2, 3, 4, 5];;;;;Dom Pedro II;;;;;;;;
 Paraná;Paraná;Campeão do Estadual 1994;;;Vila Nova [1, 2];;;;Região Centro-Oeste;;;;;;;;Vila Nova [, 2];;;;Região Centro-Oeste;;;;;Gama [1, 2];;;;;;;;
 Pernambuco;Sport;Campeão do Estadual 1994;;;Maranhão (MA);;;;Goiás: Goiás e Vila Nova-GO.;;;;;;;;Maranhão (MA);;;;Goiás (3): Atlético Goianiense, Goiás e Vila Nova.;;;;;Espírito Santo (ES);;;;;;;;
;Náutico;Vice-campeão do Estadual 1994;;;Maranhão [1];;;;Distrito Federal: Guará.;;;;;;;;Sampaio Corrêa;;;;Distrito Federal (2): Gama e Guará.;;;;;Serra;;;;;;;;
 Piauí;Flamengo-PI;Campeão do Estadual 1994;;;Mato Grosso (MT);;;;Mato Grosso: Mixto.;;;;;;;;Mato Grosso (MT);;;;Mato Grosso (2): Sinop e Diamantino.;;;;;Goiás (GO);;;;;;;;
 Rio de Janeiro;Vasco da Gama;Campeão do Estadual 1994;;;Operário-MT [1];;;;Mato Grosso do Sul: Operário-MS. [, 2, 4, 5];;;;;;;;Operário-MT;;;;Mato Grosso do Sul (2): Comercial e Ubiratan. [1, 2, 3, 4, 5];;;;;Goiás;;;;;;;;
;Volta Redonda;Campeão da Copa Rio 1994;;;Mato Grosso do Sul (MS);;;;Região Norte;;;;;;;;Mato Grosso do Sul (MS);;;;Região Norte;;;;;Vila Nova [1];;;;;;;;
;Flamengo;Convidado pela CBF;;;Operário-MS [1];;;;Pará: Paysandu e Remo.;;;;;;;;Commercial-MS;;;;Pará (2): Paysandu e Remo.;;;;;Maranhão (MA);;;;;;;;
 Rio Grande do Norte;ABC;Campeão do Estadual 1994;;;Minas Gerais (MG);;;;Amazonas: Nacional-AM.;;;;;;;;Minas Gerais (MG);;;;Amazonas (1): São Raimundo.;;;;;Maranhão;;;;;;;;
 Rio Grande do Sul;Internacional;Campeão do Estadual 1994;;;América-MG;;;;Acre: Rio Branco-AC.;;;;;;;;América Mineiro;;;;Acre (1): Independência.;;;;;Sampaio Corrêa [1];;;;;;;;
;Juventude;Vice-campeão do Estadual 1994;;;Atlético Mineiro;;;;Roraima: Baré.;;;;;;;;Atlético Mineiro;;;;Amapá (1): Ypiranga.;;;;;Mato Grosso (MT);;;;;;;;
;Grêmio;Convidado pela CBF;;;Cruzeiro [1, 2];;;;Rondônia: Ji-Paraná.;;;;;;;;Cruzeiro (Vice-campeão);;;;Rondônia (1): Ji-Paraná.;;;;;Sinop;;;;;;;;
 Rondônia;Palmares;6° colocado do Estadual 1994[nota 1];;;Pará (PA);;;;Amapá: Ypiranga-AP.;;;;;;;;Villa Nova [1, 2, 3];;;;Roraima (1): Atlético Roraima.;;;;;Mato Grosso do Sul (MS);;;;;;;;
 São Paulo;Palmeiras;Campeão do Estadual 1994;;;Remo [1];;;;Tocantins: Kaburé. [, 2, 3, 4, 5];;;;;;;;Pará (PA);;;;Tocantins (1): Alvorada.;;;;;Comercial-MS;;;;;;;;
;Corinthians;Campeão da Copa Bandeirantes 1994;;;Paraíba (PB);;;;;;;;;;;;Remo [];;;;;;;;;Ubiratan [1];;;;;;;;
;São Paulo;Vice-campeão do Estadual 1994;;;Botafogo-PB;;;;;;;;;;;;Paraíba (PB);;;;;;;;;Minas Gerais (MG);;;;;;;;
 Santa Catarina;Figueirense;Campeão do Estadual 1994;;;Santa Cruz-PB [1];;;;;;;;;;;;Botafogo-PB;;;;;;;;;América-MG;;;;;;;;
 Sergipe;Sergipe;Campeão do Estadual 1994;;;Paraná (PR);;;;;;;;;;;;Paraná (PR);;;;;;;;;Atlético-MG;;;;;;;;
 Tocantins;Kaburé;Campeão da Copa Tocantins 1994;;;Atlético Paranaense;;;;;;;;;;;;Coritiba;;;;;;;;;Cruzeiro;;;;;;;;
;;;;;Coritiba;;;;;;;;;;;;Paraná [, 2];;;;;;;;;URT [1, 2, 3];;;;;;;;
;;;;;Paraná Clube [1, 2];;;;;;;;;;;;Pernambuco (PE);;;;;;;;;Pará (PA);;;;;;;;
;;;;;Pernambuco (PE);;;;;;;;;;;;Sport [1];;;;;;;;;Paysandu;;;;;;;;
;;;;;Santa Cruz [1];;;;;;;;;;;;Piauí (PI);;;;;;;;;Remo [1, 2, 3];;;;;;;;
;;;;;Piauí (PI);;;;;;;;;;;;Cori-Sabbá;;;;;;;;;Paraíba (PB);;;;;;;;
;;;;;Cori-Sabbá;;;;;;;;;;;;Picos [];;;;;;;;;Botafogo-PB;;;;;;;;
;;;;;Flamengo-PI [1];;;;;;;;;;;;Rio de Janeiro (RJ);;;;;;;;;Treze [1, 2, 3];;;;;;;;
;;;;;Rio de Janeiro (RJ);;;;;;;;;;;;Bangu;;;;;;;;;Paraná (PR);;;;;;;;
;;;;;Botafogo;;;;;;;;;;;;Botafogo;;;;;;;;;Atlético-PR;;;;;;;;
;;;;;Flamengo;;;;;;;;;;;;Flamengo;;;;;;;;;Coritiba;;;;;;;;
;;;;;Fluminense;;;;;;;;;;;;Fluminense;;;;;;;;;Paraná [1, 2, 3];;;;;;;;
;;;;;Vasco da Gama [, 2, 4];;;;;;;;;;;;Vasco da Gama [, 2];;;;;;;;;;;;;;;;;
;;;;;Rio Grande do Norte (RN);;;;;;;;;;;;Rio Grande do Norte (RN);;;;;;;;;;;;;;;;;
;;;;;ABC;;;;;;;;;;;;ABC;;;;;;;;;;;;;;;;;
;;;;;Rio Grande do Sul (RS);;;;;;;;;;;;América de Natal [, 2];;;;;;;;;;;;;;;;;
;;;;;Grêmio;;;;;;;;;;;;Rio Grande do Sul (RS);;;;;;;;;;;;;;;;;
;;;;;Internacional [];;;;;;;;;;;;Grêmio;;;;;;;;;;;;;;;;;
;;;;;Rondônia (RO);;;;;;;;;;;;Internacional [1];;;;;;;;;;;;;;;;;
;;;;;Ji-Paraná [1];;;;;;;;;;;;Rondônia (RO);;;;;;;;;;;;;;;;;
;;;;;Roraima (RR);;;;;;;;;;;;Ji-Paraná;;;;;;;;;;;;;;;;;
;;;;;Atlético Roraima;;;;;;;;;;;;Roraima (RR);;;;;;;;;;;;;;;;;
;;;;;Santa Catarina (SC);;;;;;;;;;;;Baré [];;;;;;;;;;;;;;;;;
;;;;;Criciúma [];;;;;;;;;;;;Santa Catarina (SC);;;;;;;;;;;;;;;;;
;;;;;São Paulo (SP);;;;;;;;;;;;Avaí [];;;;;;;;;;;;;;;;;
;;;;;Corinthians;;;;;;;;;;;;São Paulo (SP);;;;;;;;;;;;;;;;;
;;;;;Palmeiras;;;;;;;;;;;;Palmeiras (Campeão);;;;;;;;;;;;;;;;;
;;;;;Santos;;;;;;;;;;;;Santos;;;;;;;;;;;;;;;;;
;;;;;São Paulo [1, 3, 4];;;;;;;;;;;;São Paulo [, 2, 3, 4];;;;;;;;;;;;;;;;;
;;;;;Sergipe (SE);;;;;;;;;;;;Sergipe (SE);;;;;;;;;;;;;;;;;
;;;;;Sergipe [1];;;;;;;;;;;;Itabaiana;;;;;;;;;;;;;;;;;
;;;;;Tocantins (TO);;;;;;;;;;;;Tocantins (TO);;;;;;;;;;;;;;;;;
;;;;;Kaburé;;;;;;;;;;;;Alvorada;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;;Colocações finais;;;2002;;;;;;2003;;;;;2004;;;;;;2005;;;;;2006;;;;;;;
ABC;;Campeão;Grêmio (4.º título);;Região Sudeste;;;Colocações finais;;;Alegrense;Guarani-VA;Colocações finais;;;Região Sudeste;;;Colocações finais;;;Estado;Clube;Colocações finais;;;Pos.;Clube;Pontos;Colocações finais;;;;
América de Natal;;Vice-campeão;Corinthians;;São Paulo: Bragantino, Botafogo-SP, Corinthians, Guarani, Palmeiras, Ponte Preta, Portuguesa (Lusa) e São Paulo.;;;Campeão;Corinthians (2.º título);;América de Natal;Guarani;Campeão;Cruzeiro (4.º título);;São Paulo (6): Corinthians, Palmeiras, Guarani, Santo André (campeão), União Barbarense e Portuguesa Santista.;;;Campeão;Santo André (1.º título);; Acre;Rio Branco;Campeão;Paulista (1.º título);;1º; Grêmio;1 863;Campeão;Flamengo (2.º título);;;
América Mineiro;;Estatísticas;;;Rio de Janeiro: Americano, Botafogo, Fluminense e Vasco.;;;Vice-campeão;Brasiliense;;Americano;Juventude;Vice-campeão;Flamengo;;Rio de Janeiro (7): Flamengo (vice-campeão), Vasco da Gama, Botafogo, Fluminense, América, Americano e Bangu.;;;Vice-campeão;Flamengo;; Alagoas;Corinthians-AL;Vice-campeão;Fluminense;;3º; Vasco da Gama;1 794;Vice-campeão;Vasco da Gama;;;
